case_group_id,study_family,source_id,case_type,expected_behavior,target_base_cases,conditions,artifact_selection_rule,case_construction_rule
openai-agents-python::positive_trigger,agent_workflow_templates,openai-agents-python,positive_trigger,trigger,14,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
openai-agents-python::negative_trigger,agent_workflow_templates,openai-agents-python,negative_trigger,no_trigger,14,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
openai-agents-python::boundary_clarification,agent_workflow_templates,openai-agents-python,boundary_clarification,clarify_scope,14,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
openai-agents-python::risk_constraint,agent_workflow_templates,openai-agents-python,risk_constraint,apply_constraint_or_refuse,14,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
openai-agents-js::positive_trigger,agent_workflow_templates,openai-agents-js,positive_trigger,trigger,14,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
openai-agents-js::negative_trigger,agent_workflow_templates,openai-agents-js,negative_trigger,no_trigger,14,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
openai-agents-js::boundary_clarification,agent_workflow_templates,openai-agents-js,boundary_clarification,clarify_scope,14,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
openai-agents-js::risk_constraint,agent_workflow_templates,openai-agents-js,risk_constraint,apply_constraint_or_refuse,14,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
autogen-examples::positive_trigger,agent_workflow_templates,autogen-examples,positive_trigger,trigger,15,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
autogen-examples::negative_trigger,agent_workflow_templates,autogen-examples,negative_trigger,no_trigger,15,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
autogen-examples::boundary_clarification,agent_workflow_templates,autogen-examples,boundary_clarification,clarify_scope,15,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
autogen-examples::risk_constraint,agent_workflow_templates,autogen-examples,risk_constraint,apply_constraint_or_refuse,15,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
langgraph-template::positive_trigger,agent_workflow_templates,langgraph-template,positive_trigger,trigger,7,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
langgraph-template::negative_trigger,agent_workflow_templates,langgraph-template,negative_trigger,no_trigger,7,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
langgraph-template::boundary_clarification,agent_workflow_templates,langgraph-template,boundary_clarification,clarify_scope,7,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
langgraph-template::risk_constraint,agent_workflow_templates,langgraph-template,risk_constraint,apply_constraint_or_refuse,7,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
prompts-chat::positive_trigger,prompt_and_function_recipes,prompts-chat,positive_trigger,trigger,25,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
prompts-chat::negative_trigger,prompt_and_function_recipes,prompts-chat,negative_trigger,no_trigger,25,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
prompts-chat::boundary_clarification,prompt_and_function_recipes,prompts-chat,boundary_clarification,clarify_scope,25,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
prompts-chat::risk_constraint,prompt_and_function_recipes,prompts-chat,risk_constraint,apply_constraint_or_refuse,25,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
open-webui-functions::positive_trigger,prompt_and_function_recipes,open-webui-functions,positive_trigger,trigger,25,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is in scope for the selected artifact and should be routed to it.
open-webui-functions::negative_trigger,prompt_and_function_recipes,open-webui-functions,negative_trigger,no_trigger,25,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request shares surface vocabulary but falls outside the artifact boundary.
open-webui-functions::boundary_clarification,prompt_and_function_recipes,open-webui-functions,boundary_clarification,clarify_scope,25,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,Request is under-specified or missing a required precondition.
open-webui-functions::risk_constraint,prompt_and_function_recipes,open-webui-functions,risk_constraint,apply_constraint_or_refuse,25,original_freeform;skillops_normalized;skillops_ablation,Sample artifacts inside the source stratum after version and license checks.,"Request touches permission, privacy, safety, stale-context, or execution constraints."
