condition_case_id,case_id,artifact_id,study_family,source_id,source_owner,ecosystem,artifact_family_group,case_type,condition,expected_behavior,risk_label,pilot_status
ext-art-079-pos::skillops_normalized,ext-art-079-pos,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-079-pos::skillops_ablation,ext-art-079-pos,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-079-neg::original_freeform,ext-art-079-neg,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-079-neg::skillops_normalized,ext-art-079-neg,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-079-neg::skillops_ablation,ext-art-079-neg,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-079-bnd::original_freeform,ext-art-079-bnd,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-079-bnd::skillops_normalized,ext-art-079-bnd,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-079-bnd::skillops_ablation,ext-art-079-bnd,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-079-risk::original_freeform,ext-art-079-risk,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-079-risk::skillops_normalized,ext-art-079-risk,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-079-risk::skillops_ablation,ext-art-079-risk,ext-art-079,agent_skills,voltagent-awesome,mohamedabdallah-14,community-index,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-080-pos::original_freeform,ext-art-080-pos,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-080-pos::skillops_normalized,ext-art-080-pos,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-080-pos::skillops_ablation,ext-art-080-pos,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-080-neg::original_freeform,ext-art-080-neg,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-080-neg::skillops_normalized,ext-art-080-neg,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-080-neg::skillops_ablation,ext-art-080-neg,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-080-bnd::original_freeform,ext-art-080-bnd,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-080-bnd::skillops_normalized,ext-art-080-bnd,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-080-bnd::skillops_ablation,ext-art-080-bnd,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-080-risk::original_freeform,ext-art-080-risk,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-080-risk::skillops_normalized,ext-art-080-risk,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-080-risk::skillops_ablation,ext-art-080-risk,ext-art-080,agent_skills,voltagent-awesome,nvidia,community-index,agent_skills,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-122-pos::original_freeform,ext-art-122-pos,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-122-pos::skillops_normalized,ext-art-122-pos,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-122-pos::skillops_ablation,ext-art-122-pos,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-122-neg::original_freeform,ext-art-122-neg,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-122-neg::skillops_normalized,ext-art-122-neg,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-122-neg::skillops_ablation,ext-art-122-neg,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-122-bnd::original_freeform,ext-art-122-bnd,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-122-bnd::skillops_normalized,ext-art-122-bnd,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-122-bnd::skillops_ablation,ext-art-122-bnd,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-122-risk::original_freeform,ext-art-122-risk,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-122-risk::skillops_normalized,ext-art-122-risk,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-122-risk::skillops_ablation,ext-art-122-risk,ext-art-122,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-124-pos::original_freeform,ext-art-124-pos,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-124-pos::skillops_normalized,ext-art-124-pos,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-124-pos::skillops_ablation,ext-art-124-pos,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-124-neg::original_freeform,ext-art-124-neg,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-124-neg::skillops_normalized,ext-art-124-neg,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-124-neg::skillops_ablation,ext-art-124-neg,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-124-bnd::original_freeform,ext-art-124-bnd,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-124-bnd::skillops_normalized,ext-art-124-bnd,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-124-bnd::skillops_ablation,ext-art-124-bnd,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-124-risk::original_freeform,ext-art-124-risk,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-124-risk::skillops_normalized,ext-art-124-risk,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-124-risk::skillops_ablation,ext-art-124-risk,ext-art-124,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-132-pos::original_freeform,ext-art-132-pos,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-132-pos::skillops_normalized,ext-art-132-pos,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-132-pos::skillops_ablation,ext-art-132-pos,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-132-neg::original_freeform,ext-art-132-neg,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-132-neg::skillops_normalized,ext-art-132-neg,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-132-neg::skillops_ablation,ext-art-132-neg,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-132-bnd::original_freeform,ext-art-132-bnd,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-132-bnd::skillops_normalized,ext-art-132-bnd,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-132-bnd::skillops_ablation,ext-art-132-bnd,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-132-risk::original_freeform,ext-art-132-risk,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-132-risk::skillops_normalized,ext-art-132-risk,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-132-risk::skillops_ablation,ext-art-132-risk,ext-art-132,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-135-pos::original_freeform,ext-art-135-pos,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-135-pos::skillops_normalized,ext-art-135-pos,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-135-pos::skillops_ablation,ext-art-135-pos,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-135-neg::original_freeform,ext-art-135-neg,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-135-neg::skillops_normalized,ext-art-135-neg,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-135-neg::skillops_ablation,ext-art-135-neg,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-135-bnd::original_freeform,ext-art-135-bnd,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-135-bnd::skillops_normalized,ext-art-135-bnd,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-135-bnd::skillops_ablation,ext-art-135-bnd,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-135-risk::original_freeform,ext-art-135-risk,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-135-risk::skillops_normalized,ext-art-135-risk,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,skillops_normalized,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-135-risk::skillops_ablation,ext-art-135-risk,ext-art-135,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,skillops_ablation,apply_constraint_or_refuse,privacy,selected_pending_annotation
ext-art-138-pos::original_freeform,ext-art-138-pos,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,original_freeform,trigger,none,selected_pending_annotation
ext-art-138-pos::skillops_normalized,ext-art-138-pos,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_normalized,trigger,none,selected_pending_annotation
ext-art-138-pos::skillops_ablation,ext-art-138-pos,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,positive_trigger,skillops_ablation,trigger,none,selected_pending_annotation
ext-art-138-neg::original_freeform,ext-art-138-neg,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,original_freeform,no_trigger,permission_boundary,selected_pending_annotation
ext-art-138-neg::skillops_normalized,ext-art-138-neg,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_normalized,no_trigger,permission_boundary,selected_pending_annotation
ext-art-138-neg::skillops_ablation,ext-art-138-neg,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,negative_trigger,skillops_ablation,no_trigger,permission_boundary,selected_pending_annotation
ext-art-138-bnd::original_freeform,ext-art-138-bnd,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,original_freeform,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-138-bnd::skillops_normalized,ext-art-138-bnd,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_normalized,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-138-bnd::skillops_ablation,ext-art-138-bnd,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,boundary_clarification,skillops_ablation,clarify_scope,execution_constraint,selected_pending_annotation
ext-art-138-risk::original_freeform,ext-art-138-risk,ext-art-138,mcp_and_tool_recipes,github-mcp-server,github,github,mcp_and_tool_recipes,risk_constraint,original_freeform,apply_constraint_or_refuse,privacy,selected_pending_annotation
